,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,DEVIĆ SLOBODAN,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,TADIĆ ALEKSANDAR,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,VUKOVIĆ SLAVKO,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,074B030,0,1,0,0,178,0,0,0,27,3,6,33,1,0,1,6,1,0,0,0,0,1,0,258
,074B031,0,0,0,10,0,0,0,0,9,47,112,0,0,0,1,173,0,0,0,0,0,0,0,352
,074B032,0,0,0,4,0,0,0,0,28,15,68,0,0,0,8,95,0,2,0,0,0,0,0,220
,074B033,0,0,0,13,0,0,0,0,19,8,222,0,0,0,8,265,0,7,0,0,0,0,0,542
,074B034,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24
,074B035A,0,0,0,5,0,0,0,1,10,35,145,1,0,0,11,96,3,0,0,1,0,0,0,308
,074B035B,0,0,0,9,0,0,0,0,27,45,273,1,0,1,6,134,1,1,0,0,0,0,0,498
,074B036,0,0,0,1,23,2,25,0,8,10,9,21,0,1,5,3,1,1,0,0,0,1,0,111
,074B037A,2,0,2,38,1,0,0,0,51,5,131,1,0,0,20,96,6,0,1,0,1,1,0,356
,074B037B,2,0,0,35,0,0,0,0,87,11,97,0,1,0,29,111,12,4,0,0,0,6,0,395
,074B037C,0,0,0,15,0,0,0,0,17,3,100,0,0,1,4,37,3,0,0,0,0,2,0,182
,074B038,0,0,0,0,1,2,3,0,4,4,26,0,0,0,1,1,0,1,0,0,0,2,1,46
,074B039,0,0,0,2,0,0,0,0,159,9,36,0,0,0,0,79,0,3,1,0,0,0,0,289
,074B040,1,0,0,49,0,1,0,0,75,13,122,0,2,0,19,145,4,2,0,0,0,1,0,434
,074B041,0,0,0,56,0,0,0,0,58,69,135,0,2,0,19,96,1,3,0,0,0,0,0,439
,074B042,0,0,0,1,137,0,0,1,5,0,1,29,0,0,0,0,0,0,0,0,1,0,2,177
,074B043,0,2,0,30,17,0,0,0,90,28,95,3,0,3,13,125,9,0,0,0,1,2,1,419
,074B044,0,0,0,168,3,0,0,0,91,6,67,5,0,0,18,47,0,1,0,0,0,0,0,406
,074B045A,0,0,0,4,232,0,0,1,32,3,19,65,2,1,5,21,0,0,0,0,0,0,1,386
,074B045B,1,1,0,4,129,0,0,0,27,2,35,23,0,0,4,14,1,0,0,0,0,2,1,244
,074B046,0,0,0,23,0,0,0,1,72,5,87,0,0,0,1,142,3,0,0,0,0,2,0,336
,074B047,0,0,0,12,136,0,0,0,53,8,44,13,0,1,1,61,4,0,0,0,3,4,0,340
,074B048,0,0,1,15,0,0,0,0,85,12,180,0,0,2,16,149,1,3,0,0,0,4,0,468
,074B049,0,0,0,9,3,1,1,1,24,11,89,9,0,0,5,97,1,8,0,0,0,3,0,262
